category,title,author,publisher,year,publication_place,page_count,book_url,image_url
philosophy,Maarifçilik fəlsəfəsi: Qərb və Şərq mədəniyyəti kontekstində,Məmmədov Nicat Kamran oğlu,Səda,2008,Bakı,296,https://www.preslib.az/az/elibrary/ebook/wmvopzk,https://www.ebooks.az/image/cover/wmvopzk
philosophy,Tarixin mənası və təyinatı,Yaspers Karl,Zəkioğlu,2008,Bakı,764,https://www.preslib.az/az/elibrary/ebook/b83x4vr,https://www.ebooks.az/image/cover/b83x4vr
philosophy,Azərbaycanda XIX əsr ictimai və fəlsəfi fikir tarixindən,Hüseynov Heydər,Şərq-Qərb,2007,Bakı,400,https://www.preslib.az/az/elibrary/ebook/AD8UqiXF,https://www.ebooks.az/image/cover/AD8UqiXF
philosophy,"Azərbaycan milli-demokratik dövlətçilik məfkurəsi: türkçülük, müasirlik, islamçılıq",Əhmədli Rafail Ayvaz oğlu,Elm,2007,Bakı,280,https://www.preslib.az/az/elibrary/ebook/FkcdtJUp,https://www.ebooks.az/image/cover/FkcdtJUp
philosophy,Mənəviyyat fəlsəfəsi,Xəlilov Səlahəddin Sədrəddin oğlu,Azərbaycan Universiteti,2007,Bakı,520,https://www.preslib.az/az/elibrary/ebook/yawVUXdP,https://www.ebooks.az/image/cover/yawVUXdP
philosophy,Qədim Şərqdə və Azərbaycanda şəxsiyyətin mənəvi tərbiyəsi,Cərulla qızı Nigar,Azərbaycan DNA-nın nəşri,2007,Bakı,255,https://www.preslib.az/az/elibrary/ebook/AmqSEZg,https://www.ebooks.az/image/cover/AmqSEZg
philosophy,Poetika,Aristotel,Şərq-Qərb,2006,Bakı,120,https://www.preslib.az/az/elibrary/ebook/ujPsmCEi,https://www.ebooks.az/image/cover/ujPsmCEi
philosophy,Siyasət. Böyük etika,Aristotel,XXI-YNE,2006,Bakı,432,https://www.preslib.az/az/elibrary/ebook/l83hceu7,https://www.ebooks.az/image/cover/l83hceu7
philosophy,Fəlsəfə: tarix və müasirlik,Xəlilov Səlahəddin Sədrəddin oğlu,Azərbaycan Universiteti,2006,Bakı,420,https://www.preslib.az/az/elibrary/ebook/aMOipDvl,https://www.ebooks.az/image/cover/aMOipDvl
philosophy,Azərbaycan fəlsəfəsi tarixi,Məmmədov Zakir,Şərq-Qərb,2006,Bakı,328,https://www.preslib.az/az/elibrary/ebook/Nk7xWpIC,https://www.ebooks.az/image/cover/Nk7xWpIC
philosophy,"Qloballaşmış cəmiyyətlər: dünən, bu gün, sabah",Şükürov Ağayar,Azərbaycan Universiteti,2006,Bakı,192,https://www.preslib.az/az/elibrary/ebook/nxafJjo,https://www.ebooks.az/image/cover/nxafJjo
philosophy,Qərb-Şərq münasibətləri xristian və islam təfəkkürü baxımından,"Hüseynov Həsən, Bəhərçi Tofiq",Təknur,2005,Bakı,442,https://www.preslib.az/az/elibrary/ebook/nVM8di4,https://www.ebooks.az/image/cover/nVM8di4
philosophy,"Mövlana Cəlaləddin Ruminin ""Məsnəvi-ye mənəvi"" əsəri islam təsəvvüfünün əsas qaynaqlarından biri kimi",İbrahimova İlhamə Həsən qızı,Nafta-Press,2005,Bakı,178,https://www.preslib.az/az/elibrary/ebook/3FtwMJ4,https://www.ebooks.az/image/cover/3FtwMJ4
philosophy,"Qloballaşma, mif və tarix",Şükürov Ağayar,Təknur,2005,Bakı,273,https://www.preslib.az/az/elibrary/ebook/zFI5gfl,https://www.ebooks.az/image/cover/zFI5gfl
philosophy,Fəlsəfə elmləri ensiklopediyası: I cild: Məntiq elmi,Hegel Georq Vilhelm Fredrix,2005,,Bakı,460,https://www.preslib.az/az/elibrary/ebook/biLtHJTw,https://www.ebooks.az/image/cover/biLtHJTw
philosophy,Fəlsəfə və həyat: elmi məqalələr toplusu: I buraxılış,,Səda,2005,Bakı,245,https://www.preslib.az/az/elibrary/ebook/5GTuvVEz,https://www.ebooks.az/image/cover/5GTuvVEz
philosophy,Heydər Əliyev və milli mentalitet fəlsəfəsi,Əliyev Qoşqar Cəlal oğlu,Qismət,2003,Bakı,248,https://www.preslib.az/az/elibrary/ebook/SHUiRy53,https://www.ebooks.az/image/cover/SHUiRy53
philosophy,Davranış mədəniyyəti,Məmmədbəyov Nazim,2003,,Bakı,12,https://www.preslib.az/az/elibrary/ebook/cKRvJDx,https://www.ebooks.az/image/cover/cKRvJDx
philosophy,"Məxfilik qrifi, yaxud mif, fəlsəfə, din və dil düyünü",Əliyev Razim,Ziya-Nurlan,2002,Bakı,150,https://www.preslib.az/az/elibrary/ebook/VhY9DzZm,https://www.ebooks.az/image/cover/VhY9DzZm
philosophy,Mifopoetik təfəkkür fəlsəfəsi,Hacılı Asif Abbas oğlu,Mütərcim,2002,Bakı,164,https://www.preslib.az/az/elibrary/ebook/wUOdIWMe,https://www.ebooks.az/image/cover/wUOdIWMe
philosophy,Xəlil Rza Ulutürkün fəlsəfi görüşləri,Kərimova Həqiqət,Gənclik,2002,Bakı,100,https://www.preslib.az/az/elibrary/ebook/TMW2uX0Y,https://www.ebooks.az/image/cover/TMW2uX0Y
philosophy,Nəsirəddin Tusi və müasirlik,,Qeyrət,2001,Naxçıvan,104,https://www.preslib.az/az/elibrary/ebook/MQEH5epO,https://www.ebooks.az/image/cover/MQEH5epO
philosophy,Тюрко-татарская философская мысль средневековья: XIII-XVI вв.,Амирханов Рашид Махмудович,Мастер Лайн,2001,Казань,262,https://www.preslib.az/az/elibrary/ebook/LPNQOETJ,https://www.ebooks.az/image/cover/LPNQOETJ
history,Dərbənd XIX-XX əsrin əvvəllərində: tarixi-demoqrafik tədqiqat,Hacıyev Asəf Adil oğlu,Ocaq,2025,Bakı,244,https://www.preslib.az/az/elibrary/ebook/C3E9D61,https://www.ebooks.az/image/cover/C3E9D61
history,Pakistan: A short history and politics,Madatli Eynulla,Ocaq,2025,Baku,425,https://www.preslib.az/az/elibrary/ebook/2L7CPqp,https://www.ebooks.az/image/cover/2L7CPqp
history,На матрице истины: армяне – аллохтоны на Кавказе,Вердиева Хаджар Юсиф кызы,Füyuzat,2025,Bakı,276,https://www.preslib.az/az/elibrary/ebook/3ec4WvN,https://www.ebooks.az/image/cover/3ec4WvN
history,Çubuk Kahramanları,"Elili İrade, Novruzova Azade",Nur Mətbəəsi,2025,Bakı,146,https://www.preslib.az/az/elibrary/ebook/H2PlvYD,https://www.ebooks.az/image/cover/H2PlvYD
history,Kafkasya`da Kıpçaklar,Mirzayeva Nasiba,PAN Yayınevi,2024,Bakü,225,https://www.preslib.az/az/elibrary/ebook/S8khbIo,https://www.ebooks.az/image/cover/S8khbIo
history,Ümumdünya tarixi,Zülfüqarlı Məhərrəm Paşa oğlu,Mütərcim,2023,Bakı,112,https://www.preslib.az/az/elibrary/ebook/whzkiyq,https://www.ebooks.az/image/cover/whzkiyq
history,Məasiri-sultaniyyə,Dünbüli Əbdürrəzzaq bəy,Kitab çapı.az,2023,Bakı,310,https://www.preslib.az/az/elibrary/ebook/xbuhsaj,https://www.ebooks.az/image/cover/xbuhsaj
history,Türk dövlətləri və mədəniyyətləri tarixi,"Nüsrətoğlu Telman, Nəcəf Əkbər",Xəzər Universiteti nəşriyyatı,2023,Bakı,820,https://www.preslib.az/az/elibrary/ebook/0yVO8X9,https://www.ebooks.az/image/cover/0yVO8X9
history,Tarixin tədrisində interaktiv metodlardan istifadənin imkanları,Musayev Dəyanət,2022,,Bakı,232,https://www.preslib.az/az/elibrary/ebook/lbgkqam,https://www.ebooks.az/image/cover/lbgkqam
history,Safavids in Venetian and European Sources,Guliyev Ahmad,Edizioni Ca' Foscari,2022,Venezia,115,https://www.preslib.az/az/elibrary/ebook/ocdxgut,https://www.ebooks.az/image/cover/ocdxgut
history,Методика преподавания истории,Мусаев Даянат,2022,,Баку,648,https://www.preslib.az/az/elibrary/ebook/intxesq,https://www.ebooks.az/image/cover/intxesq
history,Oğuz Özgür Çevik: Kahraman Şehit,Alili İrada,İkinci Adam Yayınları,2022,İstanbul,80,https://www.preslib.az/az/elibrary/ebook/jbcohux,https://www.ebooks.az/image/cover/jbcohux
history,İslamöncəsi Türk tarixi: IV bitik: Tarixi etnoqrafiya,Ağasıoğlu Firudin,Yıkılmazlar,2022,İstanbul,464,https://www.preslib.az/az/elibrary/ebook/sxqR36z,https://www.ebooks.az/image/cover/sxqR36z
history,İslamöncəsi Türk tarixi: V bitik: Mifologiyada tarix,Ağasıoğlu Firudin,Yıkılmazlar,2022,İstanbul,455,https://www.preslib.az/az/elibrary/ebook/Ul7NsrY,https://www.ebooks.az/image/cover/Ul7NsrY
history,İslamöncəsi Türk tarixi: VI bitik: Ədəbiyyat və folklorda tarix,Ağasıoğlu Firudin,Yıkılmazlar,2022,İstanbul,405,https://www.preslib.az/az/elibrary/ebook/ZcTozbO,https://www.ebooks.az/image/cover/ZcTozbO
history,Rusiya tarixi ən qədim zamanlardan günümüzədək,Baxşəliyev Tahir Şamil oğlu,Təhsil,2021,Bakı,808,https://www.preslib.az/az/elibrary/ebook/rqgeouv,https://www.ebooks.az/image/cover/rqgeouv
history,Türk xalqları tarixi: XVII-XIX əsrlər,İsmayılzadə Saidə,Elm və təhsil,2021,Bakı,428,https://www.preslib.az/az/elibrary/ebook/xcvwhts,https://www.ebooks.az/image/cover/xcvwhts
